qual, numSumCombs, numCodes
10, 1, 6
11, 1, 12
12, 2, 18
13, 2, 24
14, 3, 30
15, 3, 36
16, 3, 30
17, 2, 24
18, 2, 18
19, 1, 12
20, 12, 281
21, 13, 360
22, 15, 464
23, 17, 598
24, 21, 767
25, 23, 976
26, 27, 1200
27, 30, 1444
28, 34, 1713
29, 37, 2012
30, 42, 2346
31, 44, 2700
32, 49, 3065
33, 52, 3420
34, 55, 3750
35, 57, 4040
36, 60, 4275
37, 59, 4470
38, 61, 4610
39, 60, 4680
40, 216, 13891
41, 238, 15640
42, 263, 17500
43, 287, 19460
44, 314, 21505
45, 339, 23616
46, 366, 25770
47, 391, 27970
48, 419, 30185
49, 443, 32380
50, 470, 34516
51, 492, 36550
52, 516, 38465
53, 535, 40240
54, 555, 41850
55, 570, 43266
56, 585, 44455
57, 594, 45390
58, 603, 46050
59, 606, 46420
60, 609, 46491
61, 605, 46260
62, 601, 45730
63, 591, 44900
64, 581, 43785
65, 565, 42406
66, 548, 40790
67, 527, 38970
68, 506, 36965
69, 480, 34800
70, 456, 32506
71, 427, 30120
72, 400, 27685
73, 370, 25240
74, 342, 22820
75, 312, 20456
76, 285, 18175
77, 256, 16000
78, 230, 13950
79, 204, 12040
80, 181, 10281
81, 157, 8680
82, 137, 7240
83, 117, 5960
84, 100, 4840
85, 84, 3876
86, 70, 3060
87, 57, 2380
88, 47, 1820
89, 37, 1365
90, 30, 1001
91, 23, 715
92, 18, 495
93, 13, 330
94, 10, 210
95, 7, 126
96, 5, 70
97, 3, 35
98, 2, 15
99, 1, 5
Total, 19584, 1385093
